,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,target,w_1servewon_per,l_1servewon_per,break_points_made,break_points_recieved
45509,10,4,56,38,30,11,9,1,1,3,5,68,40,27,12,9,5,8,1,78,67,3,0
45512,4,2,63,42,31,12,10,5,6,3,7,68,49,34,4,9,6,9,1,73,69,3,1
45513,4,1,54,40,35,5,9,2,2,0,0,60,36,23,12,9,6,9,1,87,63,3,0
45915,3,5,62,39,29,12,11,1,3,3,1,62,41,25,11,11,4,8,1,74,60,4,2
45931,7,3,76,56,39,11,13,1,3,2,4,85,56,32,14,13,9,14,1,69,57,5,2
45938,13,2,76,55,39,10,11,1,3,1,3,79,48,33,13,11,3,6,1,70,68,3,2
45942,4,0,51,29,23,14,8,3,3,6,4,57,38,23,6,8,1,5,1,79,60,4,0
46034,9,1,43,26,22,10,8,3,4,1,3,45,32,13,5,8,3,8,1,84,40,5,1
46050,10,6,98,49,45,27,17,0,1,8,7,129,74,54,26,17,7,9,1,91,72,2,1
46058,11,3,60,38,30,13,10,2,3,0,0,56,34,19,12,9,1,4,1,78,55,3,1
46129,4,2,47,28,23,14,9,0,0,1,1,55,38,26,6,9,4,7,1,82,68,3,0
46144,4,3,57,33,23,15,10,1,3,0,0,62,41,22,10,10,2,6,1,69,53,4,2
46402,13,4,85,52,44,19,15,3,4,14,8,94,44,37,24,14,5,7,1,84,84,2,1
46410,10,3,50,32,27,8,9,0,1,1,2,57,32,20,10,9,5,9,1,84,62,4,1
46414,23,5,115,76,60,20,16,7,9,9,1,99,63,54,23,16,2,2,1,78,85,0,2
46416,11,3,41,30,27,7,8,1,1,4,1,50,38,23,2,8,3,7,1,90,60,4,0
46417,6,5,52,26,23,16,9,4,4,8,3,78,57,36,8,10,4,7,1,88,63,3,0
46457,10,4,51,27,26,8,8,5,6,1,3,45,26,14,6,8,1,6,1,96,53,5,1
46465,7,2,59,39,29,10,9,3,4,0,5,60,39,25,6,9,6,10,1,74,64,4,1
46469,9,2,34,26,24,4,7,0,0,1,2,52,41,23,1,7,6,11,1,92,56,5,0
46690,6,3,52,29,24,15,9,1,1,1,0,54,33,20,11,9,2,5,1,82,60,3,0
46694,7,3,50,35,28,9,9,1,1,2,0,56,34,20,12,9,2,5,1,80,58,3,0
46696,6,1,36,28,22,6,6,3,3,4,4,53,35,23,4,7,4,7,1,78,65,3,0
46697,13,2,98,65,54,15,16,4,5,10,3,98,64,46,18,16,3,6,1,83,71,3,1
46813,15,1,89,65,54,15,16,0,0,12,0,88,58,46,15,15,2,4,1,83,79,2,0
46814,18,5,102,72,55,18,15,3,5,5,2,104,64,46,20,15,6,11,1,76,71,5,2
46815,14,1,107,75,59,19,17,4,4,18,2,109,86,60,15,16,3,4,1,78,69,1,0
46822,3,2,47,28,23,14,9,0,0,1,3,62,43,29,8,9,6,9,1,82,67,3,0
46906,5,3,83,64,45,11,14,5,8,0,2,99,73,42,14,14,11,16,1,70,57,5,3
47027,7,4,90,43,34,25,15,6,9,8,8,100,53,35,15,15,8,15,1,79,66,7,3
47059,4,2,89,50,40,18,18,2,6,4,2,117,76,44,15,17,7,15,1,80,57,8,4
47075,10,4,73,38,34,21,14,2,3,5,2,88,60,37,11,14,11,16,1,89,61,5,1
47082,14,6,78,44,38,18,14,1,2,0,3,92,59,33,14,13,5,11,1,86,55,6,1
47153,16,2,116,63,52,32,19,4,5,9,4,141,87,65,21,21,5,9,1,82,74,4,1
47184,6,3,64,40,38,10,13,1,3,2,5,82,55,34,7,12,8,15,1,95,61,7,2
47200,16,3,156,93,70,25,25,3,8,11,10,151,85,64,26,23,7,15,1,75,75,8,5
47279,15,4,68,41,36,18,13,2,2,1,6,105,58,36,20,13,8,13,1,87,62,5,0
47311,8,2,59,41,33,11,12,0,1,1,3,89,51,29,16,13,10,17,1,80,56,7,1
47327,9,1,71,42,32,16,12,3,4,0,8,95,60,38,6,13,6,13,1,76,63,7,1
47335,13,2,78,56,47,11,14,1,2,0,3,77,51,32,9,14,3,8,1,83,62,5,1
47339,13,1,99,65,54,19,18,3,5,4,4,114,76,46,20,19,5,12,1,83,60,7,2
47341,12,4,86,59,48,14,15,2,3,4,10,91,57,37,12,15,0,5,1,81,64,5,1
47342,16,9,90,52,42,22,15,5,6,6,3,92,50,40,17,15,4,8,1,80,80,4,1
47390,8,2,74,50,39,16,13,1,1,6,3,78,45,32,12,13,4,9,1,78,71,5,0
47430,13,3,76,49,42,13,14,2,4,0,3,72,40,19,13,13,1,8,1,85,47,7,2
47450,15,4,130,70,54,31,22,8,11,2,3,142,92,59,24,21,11,18,1,77,64,7,3
47460,7,2,71,46,36,15,14,0,1,1,2,70,42,28,12,13,1,7,1,78,66,6,1
47464,14,4,90,54,43,19,15,4,5,8,3,85,40,25,25,14,6,11,1,79,62,5,1
47467,17,2,82,56,49,12,15,2,3,3,3,101,70,43,13,15,4,9,1,87,61,5,1
47694,9,1,48,34,27,7,9,0,1,0,0,60,41,22,10,9,2,6,1,79,53,4,1
47696,8,4,64,43,29,9,11,2,5,0,1,70,40,26,9,10,5,10,1,67,65,5,3
47718,12,13,107,56,46,20,15,9,11,7,9,105,66,49,16,15,8,11,1,82,74,3,2
47720,4,3,52,34,28,11,9,2,2,4,1,62,42,26,8,9,8,11,1,82,61,3,0
47739,6,2,58,41,33,7,9,4,5,2,2,58,38,23,7,9,4,8,1,80,60,4,1
47743,8,2,48,29,25,9,9,2,3,2,5,57,33,24,7,10,5,10,1,86,72,5,1
47745,10,3,69,37,30,19,13,1,2,5,1,96,76,47,11,13,8,11,1,81,61,3,1
47746,10,0,45,28,25,11,9,0,0,11,5,57,31,25,9,9,1,4,1,89,80,3,0
48131,11,4,67,44,34,7,10,5,8,0,0,63,48,23,8,10,5,10,1,77,47,5,3
48133,4,3,44,29,25,6,7,4,4,0,0,43,23,9,9,7,1,6,1,86,39,5,0
48171,8,2,63,39,34,13,10,1,1,8,1,61,38,31,9,10,1,3,1,87,81,2,0
48173,7,0,50,35,29,12,10,1,1,5,4,54,34,29,7,10,3,5,1,82,85,2,0
48175,7,9,51,30,22,10,10,2,5,1,2,62,48,26,6,10,5,10,1,73,54,5,3
48255,6,4,41,25,22,10,8,0,0,6,2,48,35,22,4,8,3,7,1,88,62,4,0
48269,8,1,91,59,47,22,15,2,2,6,1,106,70,56,12,15,8,11,1,79,80,3,0
48273,8,2,46,33,25,7,9,2,4,2,0,63,34,18,10,9,7,12,1,75,52,5,2
48475,10,3,92,61,48,18,15,4,5,1,0,90,57,35,14,14,2,6,1,78,61,4,1
48506,31,5,119,79,67,20,20,7,9,17,2,128,91,67,14,20,7,11,1,84,73,4,2
48522,10,6,86,57,47,15,14,3,3,3,0,86,56,33,19,14,7,11,1,82,58,4,0
48530,15,6,129,84,71,29,22,1,1,18,18,165,104,77,32,22,9,12,1,84,74,3,0
48534,15,9,196,126,94,36,28,9,11,18,4,168,116,91,25,27,2,5,1,74,78,3,2
48536,13,4,100,71,61,21,20,2,4,5,1,120,83,56,23,19,8,12,1,85,67,4,2
48815,12,2,48,32,22,5,9,2,5,0,1,42,27,8,8,8,2,8,1,68,29,6,3
48819,7,2,46,25,22,12,8,1,1,0,1,38,27,14,3,7,2,6,1,88,51,4,0
48826,3,9,64,37,28,13,9,3,4,4,3,77,37,23,15,10,5,9,1,75,62,4,1
48930,3,2,48,35,28,9,9,1,1,0,1,54,37,20,8,8,4,7,1,80,54,3,0
49000,8,4,58,40,34,7,10,2,3,0,1,46,33,18,6,9,0,4,1,85,54,4,1
49008,14,1,55,39,31,10,10,2,3,0,2,58,36,22,12,9,3,6,1,79,61,3,1
49024,4,2,50,32,27,11,9,0,0,1,1,51,26,19,10,9,3,6,1,84,73,3,0
49553,12,6,74,40,31,18,12,7,9,0,0,74,52,27,5,12,5,13,1,77,51,8,2
49585,7,5,102,85,55,6,14,5,8,0,7,127,98,56,8,14,11,18,1,64,57,7,3
49601,6,3,79,58,45,12,13,2,2,0,0,78,55,34,12,13,6,11,1,77,61,5,0
49618,4,4,66,40,29,12,12,1,4,0,3,90,56,34,14,12,5,10,1,72,60,5,3
49620,4,7,73,43,37,12,11,1,3,1,3,75,46,35,11,11,0,3,1,86,76,3,2
49624,6,3,78,50,39,15,11,5,6,0,2,76,50,31,15,11,5,8,1,78,62,3,1
49671,8,4,78,53,40,12,11,5,6,9,3,63,36,29,11,10,1,3,1,75,80,2,1
49673,8,4,66,45,37,7,9,9,9,0,2,56,38,24,9,9,2,5,1,82,63,3,0
49677,10,4,77,56,43,13,11,6,6,2,0,73,53,39,8,10,5,6,1,76,73,1,0
49685,6,5,60,42,33,8,9,2,2,2,2,48,35,22,7,8,2,5,1,78,62,3,0
49738,10,5,93,57,45,15,14,2,3,1,5,87,42,29,23,13,4,7,1,78,69,3,1
50102,5,1,49,33,22,11,9,0,2,0,3,54,33,14,9,9,4,10,1,66,42,6,2
50103,12,4,58,30,25,17,10,0,1,1,1,55,33,21,8,9,3,6,1,83,63,3,1
50105,8,1,52,24,21,15,8,2,2,1,3,56,32,20,9,8,4,8,1,87,62,4,0
50109,5,0,55,37,31,11,10,1,1,1,2,61,28,22,15,9,5,7,1,83,78,2,0
50234,18,4,84,54,41,17,11,6,6,3,3,62,31,26,17,10,2,3,1,75,83,1,0
50238,4,5,68,45,35,14,12,3,4,2,5,92,61,38,16,12,10,13,1,77,62,3,1
50246,7,4,66,38,33,13,11,2,3,4,11,77,40,30,14,11,6,9,1,86,75,3,1
50333,10,3,68,37,28,19,12,3,5,0,7,77,52,25,7,12,8,16,1,75,48,8,2
50397,8,1,82,51,39,21,14,3,3,5,4,107,63,41,18,15,12,17,1,76,65,5,0
50428,12,5,92,59,42,18,13,8,9,1,0,88,56,29,16,13,6,12,1,71,51,6,1
50598,6,1,36,26,23,4,7,1,2,0,0,44,29,14,3,7,8,14,1,88,48,6,1
50606,6,1,39,27,22,7,8,0,1,1,2,59,42,22,7,9,5,10,1,81,52,5,1
50622,8,4,49,35,29,6,8,1,1,1,0,50,33,21,5,8,4,8,1,82,63,4,0
50819,6,3,97,64,46,13,14,6,9,6,6,81,41,32,11,13,6,11,1,71,78,5,3
50820,6,2,44,31,27,9,9,0,0,2,2,66,46,28,8,9,4,7,1,87,60,3,0
50822,7,0,49,37,30,6,9,0,0,4,0,62,33,21,14,9,3,6,1,81,63,3,0
